t,AE
3.83e-05,0.254463195800781
3.84e-05,0.256839294433594
3.85e-05,0.249585876464844
3.86e-05,0.231943359375
3.87e-05,0.203485412597656
3.88e-05,0.164989471435547
3.89e-05,0.119861602783203
3.9e-05,0.0729940795898437
3.91e-05,0.0297177124023437
3.92e-05,-0.00519012451171875
3.93e-05,-0.0298307800292969
3.94e-05,-0.0449081420898437
3.95e-05,-0.0513340759277344
3.96e-05,-0.0492355346679687
3.97e-05,-0.0387591552734375
3.98e-05,-0.0192567443847656
3.99e-05,0.00904953002929688
4e-05,0.0438536071777344
4.01e-05,0.0804241943359375
4.02e-05,0.113257598876953
4.03e-05,0.137729949951172
4.04e-05,0.151401214599609
4.05e-05,0.154213256835938
4.06e-05,0.148441925048828
4.07e-05,0.137424011230469
4.08e-05,0.123250427246094
4.09e-05,0.106963195800781
4.1e-05,0.0889503479003906
4.11e-05,0.0685556030273437
4.12e-05,0.0461140441894531
4.13e-05,0.0225422668457031
4.14e-05,-0.00014007568359375
4.15e-05,-0.0196612548828125
4.16e-05,-0.0344236755371094
4.17e-05,-0.0431698608398437
4.18e-05,-0.0450282287597656
4.19e-05,-0.0406242370605469
4.2e-05,-0.0302651977539063
4.21e-05,-0.013267822265625
4.22e-05,0.0114865112304687
4.23e-05,0.0451457214355469
4.24e-05,0.0871218872070312
4.25e-05,0.133366241455078
4.26e-05,0.176597442626953
4.27e-05,0.207772521972656
4.28e-05,0.218276214599609
4.29e-05,0.202422332763672
4.3e-05,0.159128875732422
4.31e-05,0.0917369079589844
4.32e-05,0.00625503540039063
4.33e-05,-0.0915396118164063
4.34e-05,-0.196660461425781
4.35e-05,-0.305060882568359
4.36e-05,-0.412936553955078
4.37e-05,-0.515670318603516
4.38e-05,-0.608887634277344
4.39e-05,-0.689630889892578
4.4e-05,-0.756483917236328
4.41e-05,-0.808353424072266
4.42e-05,-0.844667053222656
4.43e-05,-0.863756866455078
4.44e-05,-0.863190612792969
4.45e-05,-0.842161407470703
4.46e-05,-0.801261138916016
4.47e-05,-0.743365325927734
4.48e-05,-0.672491607666016
4.49e-05,-0.593101348876953
4.5e-05,-0.507477569580078
4.51e-05,-0.416303405761719
4.52e-05,-0.317992095947266
4.53e-05,-0.210435333251953
4.54e-05,-0.0917929077148437
4.55e-05,0.0381547546386719
4.56e-05,0.176788482666016
4.57e-05,0.320255889892578
4.58e-05,0.463849029541016
4.59e-05,0.602297973632812
4.6e-05,0.730233306884766
4.61e-05,0.841576538085937
4.62e-05,0.930258178710938
4.63e-05,0.991381072998047
4.64e-05,1.02284683227539
4.65e-05,1.02493713378906
4.66e-05,1.00055694580078
4.67e-05,0.953842315673828
4.68e-05,0.889201049804688
4.69e-05,0.810342712402344
4.7e-05,0.719306945800781
4.71e-05,0.617013397216797
4.72e-05,0.504427947998047
4.73e-05,0.383993377685547
4.74e-05,0.25988037109375
4.75e-05,0.138440551757813
4.76e-05,0.0265361022949219
4.77e-05,-0.0696835327148437
4.78e-05,-0.146158294677734
4.79e-05,-0.201554107666016
4.8e-05,-0.237021484375
4.81e-05,-0.254011535644531
4.82e-05,-0.253995208740234
4.83e-05,-0.238869323730469
4.84e-05,-0.210956878662109
4.85e-05,-0.173956756591797
4.86e-05,-0.132443389892578
4.87e-05,-0.0909811401367187
4.88e-05,-0.0539486694335937
4.89e-05,-0.0243501281738281
4.9e-05,-0.00340133666992187
4.91e-05,0.00915206909179687
4.92e-05,0.0144187927246094
4.93e-05,0.013551025390625
4.94e-05,0.00736190795898438
4.95e-05,-0.00453125
4.96e-05,-0.0230799865722656
4.97e-05,-0.0492985534667969
4.98e-05,-0.0837278747558594
4.99e-05,-0.125130920410156
5e-05,-0.170584869384766
5.01e-05,-0.215995635986328
5.02e-05,-0.255902709960938
5.03e-05,-0.283494415283203
5.04e-05,-0.291722259521484
5.05e-05,-0.275495758056641
5.06e-05,-0.233158416748047
5.07e-05,-0.167031707763672
5.08e-05,-0.0833152770996094
5.09e-05,0.0108135986328125
5.1e-05,0.112006988525391
5.11e-05,0.23967041015625
5.12e-05,0.459878540039062
5.13e-05,0.8210791015625
5.14e-05,1.25608169555664
5.15e-05,1.62994842529297
5.16e-05,1.75515258789062
5.17e-05,1.40937957763672
5.18e-05,0.624194183349609
5.19e-05,-0.299783172607422
5.2e-05,-1.11562423706055
5.21e-05,-1.53585067749023
5.22e-05,-1.43698608398438
5.23e-05,-1.01261627197266
5.24e-05,-0.513396301269531
5.25e-05,-0.0973971557617188
5.26e-05,0.109946136474609
5.27e-05,0.109858093261719
5.28e-05,0.0114242553710938
5.29e-05,-0.100727233886719
5.3e-05,-0.160519409179687
5.31e-05,-0.1512890625
5.32e-05,-0.112458343505859
5.33e-05,-0.0771147155761719
5.34e-05,-0.0811541748046875
5.35e-05,-0.145522155761719
5.36e-05,-0.250561370849609
5.37e-05,-0.378267364501953
5.38e-05,-0.510803985595703
5.39e-05,-0.621539001464844
5.4e-05,-0.701560516357422
5.41e-05,-0.741466217041016
5.42e-05,-0.728209533691406
5.43e-05,-0.663478393554688
5.44e-05,-0.547380981445313
5.45e-05,-0.386497344970703
5.46e-05,-0.204859924316406
5.47e-05,-0.023487548828125
5.48e-05,0.138196868896484
5.49e-05,0.260811004638672
5.5e-05,0.341435394287109
5.51e-05,0.384019012451172
5.52e-05,0.395444030761719
5.53e-05,0.388168029785156
5.54e-05,0.367106781005859
5.55e-05,0.332593231201172
5.56e-05,0.288555908203125
5.57e-05,0.238467559814453
5.58e-05,0.188000030517578
5.59e-05,0.145035858154297
5.6e-05,0.110483551025391
5.61e-05,0.080084228515625
5.62e-05,0.0494190979003906
5.63e-05,0.0166004943847656
5.64e-05,-0.0139468383789062
5.65e-05,-0.0343304443359375
5.66e-05,-0.03822509765625
5.67e-05,-0.0237721252441406
5.68e-05,0.00494232177734375
5.69e-05,0.04192138671875
5.7e-05,0.0810311889648438
5.71e-05,0.116364135742187
5.72e-05,0.143028717041016
5.73e-05,0.157304077148437
5.74e-05,0.157268218994141
5.75e-05,0.143865509033203
5.76e-05,0.119699859619141
5.77e-05,0.0899449157714844
5.78e-05,0.0592138671875
5.79e-05,0.0290934753417969
5.8e-05,0.0008038330078125
5.81e-05,-0.0265098571777344
5.82e-05,-0.0553457641601562
5.83e-05,-0.0855780029296875
5.84e-05,-0.115768737792969
5.85e-05,-0.144342346191406
5.86e-05,-0.167797698974609
5.87e-05,-0.182985382080078
5.88e-05,-0.188180236816406
5.89e-05,-0.181742401123047
5.9e-05,-0.163375244140625
5.91e-05,-0.133434600830078
5.92e-05,-0.0930499267578125
5.93e-05,-0.0449200439453125
5.94e-05,0.00800537109375
5.95e-05,0.0628932189941406
5.96e-05,0.115868377685547
5.97e-05,0.164105072021484
5.98e-05,0.206426696777344
5.99e-05,0.242644653320312
6e-05,0.274073028564453
6.01e-05,0.302182922363281
6.02e-05,0.326966400146484
6.03e-05,0.347752990722656
6.04e-05,0.36307373046875
6.05e-05,0.370988006591797
6.06e-05,0.371501159667969
6.07e-05,0.365875091552734
6.08e-05,0.356470184326172
6.09e-05,0.346843872070312
6.1e-05,0.339750366210938
6.11e-05,0.336757354736328
6.12e-05,0.337930908203125
6.13e-05,0.341092987060547
6.14e-05,0.343082275390625
6.15e-05,0.339975128173828
6.16e-05,0.326916046142578
6.17e-05,0.299323120117187
6.18e-05,0.253865966796875
6.19e-05,0.188694152832031
6.2e-05,0.103667449951172
6.21e-05,0.00123565673828125
6.22e-05,-0.113265838623047
6.23e-05,-0.233289031982422
6.24e-05,-0.350388031005859
6.25e-05,-0.45597900390625
6.26e-05,-0.543068389892578
6.27e-05,-0.606916046142578
6.28e-05,-0.645269317626953
6.29e-05,-0.658688507080078
6.3e-05,-0.649620056152344
6.31e-05,-0.621615905761719
6.32e-05,-0.577891693115234
6.33e-05,-0.5209765625
6.34e-05,-0.453871459960937
6.35e-05,-0.378904724121094
6.36e-05,-0.298711700439453
6.37e-05,-0.216537933349609
6.38e-05,-0.135702209472656
6.39e-05,-0.0585891723632812
6.4e-05,0.0116775512695312
6.41e-05,0.0706048583984375
6.42e-05,0.112243804931641
6.43e-05,0.130813140869141
6.44e-05,0.123191223144531
6.45e-05,0.0913267517089844
6.46e-05,0.0426103210449219
6.47e-05,-0.0123159790039062
6.48e-05,-0.0626142883300781
6.49e-05,-0.099874267578125
6.5e-05,-0.118847503662109
6.51e-05,-0.118442230224609
6.52e-05,-0.100901794433594
6.53e-05,-0.0710096740722656
6.54e-05,-0.0370681762695313
6.55e-05,-0.00785842895507812
6.56e-05,0.0102796936035156
6.57e-05,0.0140760803222656
6.58e-05,0.00678497314453125
6.59e-05,-0.00185791015625
6.6e-05,-0.00457855224609375
6.61e-05,0.000604400634765625
6.62e-05,0.0112870788574219
6.63e-05,0.0185633850097656
6.64e-05,0.0137327575683594
6.65e-05,-0.00448257446289062
6.66e-05,-0.0313809204101562
6.67e-05,-0.0585603332519531
6.68e-05,-0.0761219787597656
6.69e-05,-0.0776750183105469
6.7e-05,-0.0618927001953125
6.71e-05,-0.0313079833984375
6.72e-05,0.008634033203125
6.73e-05,0.0515309143066406
6.74e-05,0.0904220581054687
6.75e-05,0.119770355224609
6.76e-05,0.137604827880859
6.77e-05,0.145149078369141
6.78e-05,0.145835723876953
6.79e-05,0.144778289794922
6.8e-05,0.145796356201172
6.81e-05,0.149275360107422
6.82e-05,0.150686950683594
6.83e-05,0.13904052734375
6.84e-05,0.100282287597656
6.85e-05,0.0240028381347656
6.86e-05,-0.0898280334472656
6.87e-05,-0.226961364746094
6.88e-05,-0.359407958984375
6.89e-05,-0.454324188232422
6.9e-05,-0.485524444580078
6.91e-05,-0.442823791503906
6.92e-05,-0.334463958740234
6.93e-05,-0.184177703857422
6.94e-05,-0.0221566772460937
6.95e-05,0.124506530761719
6.96e-05,0.236039428710937
6.97e-05,0.304665069580078
6.98e-05,0.332065124511719
6.99e-05,0.325118713378906
7e-05,0.292883148193359
7.01e-05,0.243247985839844
7.02e-05,0.182922973632813
7.03e-05,0.1186376953125
7.04e-05,0.0568946838378906
7.05e-05,0.00306640625
7.06e-05,-0.0383181762695312
7.07e-05,-0.0648200988769531
7.08e-05,-0.0758810424804687
7.09e-05,-0.0706103515625
7.1e-05,-0.0478952026367188
7.11e-05,-0.00848495483398438
7.12e-05,0.0458512878417969
7.13e-05,0.109373931884766
7.14e-05,0.171482238769531
7.15e-05,0.220678558349609
7.16e-05,0.246287994384766
7.17e-05,0.240915985107422
7.18e-05,0.203683624267578
7.19e-05,0.140728912353516
7.2e-05,0.0636593627929687
7.21e-05,-0.0118107604980469
7.22e-05,-0.0693075561523438
7.23e-05,-0.0968350219726563
7.24e-05,-0.0910826110839844
7.25e-05,-0.0580030822753906
7.26e-05,-0.0099554443359375
7.27e-05,0.0382260131835937
7.28e-05,0.0730744934082031
7.29e-05,0.0874380493164063
7.3e-05,0.0802690124511719
7.31e-05,0.0552296447753906
7.32e-05,0.0184791564941406
7.33e-05,-0.0237655639648438
7.34e-05,-0.0676063537597656
7.35e-05,-0.110253601074219
7.36e-05,-0.148480072021484
7.37e-05,-0.178728637695312
7.38e-05,-0.19824462890625
7.39e-05,-0.206221771240234
